PEP_ID,BBCH,YEAR,DAY
20451,95,1951,289
20450,11,1952,97
20450,60,1952,122
20450,65,1952,148
20450,95,1952,333
20452,86,1953,251
20452,95,1953,312
20450,11,1954,115
20452,11,1954,115
20450,60,1954,122
20452,60,1954,133
20450,65,1954,133
20452,65,1954,142
20452,86,1954,263
20450,86,1954,319
20450,95,1954,331
20452,11,1955,105
20452,60,1955,123
20452,65,1955,128
20452,86,1955,258
20452,95,1955,321
20450,11,1956,117
20450,60,1956,125
20450,65,1956,129
20449,11,1957,68
20450,11,1957,68
20450,60,1957,71
20449,60,1957,71
20450,65,1957,76
20449,65,1957,76
20449,11,1961,94
20449,60,1961,116
20449,11,1962,112
20452,60,1962,115
20449,60,1962,117
20449,65,1962,124
20449,11,1963,111
20449,60,1963,123
20449,65,1963,126
20449,86,1963,241
20452,86,1963,270
20452,94,1963,274
20449,94,1963,282
20449,95,1963,289
20452,95,1963,301
20449,11,1964,110
20452,11,1964,113
20452,60,1964,119
20449,60,1964,130
20449,65,1964,135
20449,94,1964,278
20452,94,1964,278
20452,95,1964,294
20449,95,1964,300
20451,60,1965,74
20451,65,1965,79
20452,11,1965,103
20452,60,1965,112
20452,65,1965,117
20449,11,1965,121
20449,60,1965,129
20449,65,1965,131
20451,86,1965,252
20452,94,1965,273
20449,94,1965,296
20452,95,1965,300
20449,95,1965,303
20452,11,1966,105
20449,11,1966,109
20452,60,1966,110
20452,65,1966,114
20449,60,1966,123
20449,65,1966,131
20449,86,1966,260
20452,94,1966,276
20449,94,1966,287
20452,95,1966,293
20449,95,1966,300
20452,11,1967,102
20452,60,1967,108
20452,65,1967,115
20449,95,1967,289
20452,11,1968,103
20449,11,1968,107
20452,60,1968,109
20452,65,1968,113
20449,60,1968,126
20449,65,1968,131
20449,86,1968,264
20449,94,1968,281
20449,95,1968,291
20452,95,1968,304
20452,11,1969,115
20449,11,1969,115
20452,60,1969,122
20449,60,1969,124
20449,65,1969,131
20449,86,1969,257
20452,94,1969,279
20449,94,1969,281
20452,95,1969,297
20449,11,1970,114
20452,11,1970,117
20452,60,1970,125
20449,60,1970,129
20452,65,1970,131
20449,65,1970,134
20449,86,1970,266
20449,94,1970,278
20452,94,1970,281
20449,95,1970,292
20452,95,1970,298
20449,11,1971,116
20452,11,1971,118
20449,60,1971,126
20452,60,1971,127
20452,65,1971,132
20449,65,1971,135
20449,86,1971,262
20449,94,1971,282
20449,95,1971,289
20449,11,1972,101
20452,11,1972,114
20449,60,1972,122
20452,60,1972,125
20449,65,1972,127
20452,65,1972,132
20449,86,1972,264
20449,94,1972,271
20452,94,1972,282
20449,95,1972,284
20452,95,1972,291
20452,11,1973,115
20449,11,1973,117
20452,60,1973,122
20449,60,1973,127
20449,65,1973,131
20449,86,1973,267
20452,94,1973,277
20449,94,1973,290
20452,95,1973,290
20449,95,1973,305
20449,11,1974,106
20452,11,1974,118
20449,60,1974,124
20452,60,1974,131
20449,65,1974,133
20452,65,1974,141
20449,86,1974,264
20452,94,1974,279
20449,94,1974,285
20452,95,1974,292
20449,95,1974,300
20452,11,1975,113
20449,11,1975,116
20452,60,1975,121
20449,60,1975,125
20449,65,1975,129
20452,65,1975,144
20452,86,1975,258
20449,86,1975,266
20449,94,1975,299
20449,95,1975,308
20449,86,1976,267
20449,94,1976,273
20452,94,1976,289
20452,95,1976,304
20449,11,1977,94
20452,11,1977,97
20451,11,1977,99
20449,60,1977,116
20452,60,1977,120
20449,65,1977,123
20451,60,1977,127
20452,65,1977,129
20451,65,1977,138
20451,86,1977,266
20452,86,1977,267
20452,94,1977,287
20452,95,1977,290
20451,94,1977,298
20451,95,1977,304
20449,11,1978,111
20452,11,1978,112
20452,60,1978,119
20451,11,1978,123
20449,60,1978,134
20452,65,1978,137
20449,65,1978,139
20451,60,1978,147
20451,65,1978,160
20452,86,1978,266
20451,86,1978,267
20451,94,1978,279
20452,94,1978,283
20449,94,1978,284
20451,95,1978,295
20452,95,1978,299
20449,95,1978,303
20452,11,1979,103
20449,11,1979,116
20452,60,1979,126
20449,60,1979,136
20452,65,1979,140
20449,65,1979,141
20452,86,1979,267
20449,86,1979,273
20452,94,1979,289
20452,95,1979,306
20449,95,1979,315
20449,11,1980,117
20449,60,1980,129
20449,65,1980,134
20449,86,1980,263
20449,94,1980,289
20449,95,1980,317
20452,11,1981,100
20449,11,1981,103
20452,60,1981,116
20449,60,1981,117
20452,65,1981,124
20449,65,1981,128
20452,86,1981,252
20449,86,1981,255
20452,94,1981,293
20449,94,1981,298
20452,95,1981,301
20449,95,1981,308
20449,11,1983,104
20449,60,1983,117
20451,11,1983,118
20449,65,1983,123
20451,60,1983,126
20451,65,1983,134
20451,86,1983,237
20449,86,1983,259
20451,94,1983,283
20449,94,1983,299
20451,95,1983,303
20449,95,1983,314
20451,60,1984,14
20451,11,1984,125
20451,65,1984,146
20451,86,1984,263
20451,94,1984,292
20451,95,1984,299
20449,11,1985,111
20449,60,1985,126
20449,65,1985,139
20449,86,1985,270
20449,94,1985,292
20449,95,1985,299
20449,11,1987,96
20451,11,1987,128
20449,60,1987,138
20451,60,1987,145
20449,65,1987,147
20451,65,1987,151
20449,86,1987,259
20449,94,1987,290
20449,95,1987,311
20449,11,1988,116
20449,60,1988,126
20449,65,1988,131
20452,94,1988,254
20449,86,1988,270
20452,95,1988,306
20449,94,1988,307
20449,95,1988,320
20452,11,1989,96
20449,11,1989,109
20452,60,1989,117
