PEP_ID,BBCH,YEAR,DAY
19525,11,1971,105
19526,11,1971,124
19527,11,1971,131
19525,60,1971,171
19527,60,1971,173
19526,60,1971,177
19527,94,1971,269
19526,94,1971,288
19525,94,1971,288
19527,97,1971,288
19525,97,1971,293
19526,97,1971,303
19528,11,1972,91
19525,11,1972,94
19526,11,1972,104
19527,11,1972,109
19528,60,1972,139
19527,60,1972,162
19526,60,1972,164
19525,60,1972,170
19528,11,1973,94
19527,11,1973,112
19526,11,1973,114
19525,11,1973,117
19528,60,1973,149
19527,60,1973,152
19526,60,1973,168
19525,60,1973,171
19528,11,1974,86
19527,11,1974,87
19525,11,1974,106
19526,11,1974,117
19528,60,1974,155
19527,60,1974,163
19526,60,1974,166
19525,60,1974,171
19527,94,1974,293
19527,97,1974,308
19528,11,1975,77
19525,11,1975,100
19527,11,1975,103
19526,11,1975,116
19528,60,1975,136
19525,60,1975,161
19526,60,1975,162
19527,60,1975,163
19528,11,1976,94
19525,11,1976,111
19527,11,1976,119
19526,11,1976,126
19528,60,1976,158
19526,60,1976,173
19525,60,1976,178
19527,60,1976,180
19528,11,1977,76
19525,11,1977,89
19526,11,1977,97
19527,11,1977,97
19529,11,1977,98
19528,60,1977,141
19525,60,1977,156
19529,60,1977,161
19526,60,1977,179
19527,60,1977,179
19528,11,1978,84
19525,11,1978,118
19527,11,1978,118
19529,11,1978,118
19526,11,1978,123
19528,60,1978,148
19529,60,1978,161
19527,60,1978,163
19526,60,1978,171
19528,11,1979,85
19527,11,1979,94
19525,11,1979,95
19529,11,1979,109
19526,11,1979,113
19528,60,1979,150
19529,60,1979,159
19525,60,1979,161
19527,60,1979,163
19526,60,1979,164
19525,11,1980,109
19528,11,1980,109
19527,11,1980,109
19526,11,1980,119
19529,11,1980,125
19528,60,1980,160
19525,60,1980,172
19527,60,1980,175
19529,60,1980,185
19528,11,1981,91
19525,11,1981,95
19529,11,1981,100
19527,11,1981,108
19526,11,1981,112
19528,60,1981,150
19525,60,1981,158
19527,60,1981,169
19529,60,1981,171
19527,94,1981,253
19529,94,1981,265
19526,94,1981,266
19525,94,1981,274
19527,97,1981,277
19526,97,1981,286
19525,97,1981,288
19528,94,1981,295
19529,97,1981,295
19528,97,1981,312
19528,11,1982,93
19527,11,1982,120
19525,11,1982,125
19526,11,1982,126
19529,11,1982,131
19528,60,1982,145
19525,60,1982,161
19529,60,1982,172
19527,60,1982,175
19526,60,1982,176
19526,94,1982,274
19527,94,1982,283
19525,94,1982,288
19526,97,1982,288
19529,94,1982,289
19525,97,1982,298
19529,97,1982,300
19528,94,1982,301
19527,97,1982,303
19528,97,1982,314
19528,11,1983,92
19525,11,1983,100
19526,11,1983,114
19527,11,1983,114
19529,11,1983,115
19525,60,1983,135
19528,60,1983,138
19527,60,1983,153
19526,60,1983,159
19529,60,1983,167
19526,94,1983,274
19529,94,1983,282
19528,94,1983,283
19527,94,1983,288
19526,97,1983,288
19529,97,1983,290
19525,94,1983,293
19528,97,1983,293
19525,97,1983,305
19527,97,1983,314
19529,97,1984,98
19528,11,1984,101
19525,11,1984,117
19526,11,1984,125
19527,11,1984,133
19528,60,1984,154
19525,60,1984,167
19527,60,1984,174
19526,60,1984,182
19526,94,1984,279
19526,97,1984,289
19527,94,1984,299
19525,94,1984,300
19528,94,1984,302
19527,97,1984,305
19528,97,1984,310
19525,97,1984,313
19528,11,1985,94
19525,11,1985,109
19527,11,1985,117
19526,11,1985,117
19529,11,1985,124
19528,60,1985,136
19525,60,1985,154
19529,60,1985,171
19526,60,1985,178
19527,60,1985,183
19525,94,1985,269
19526,94,1985,274
19527,94,1985,274
19529,94,1985,277
19527,97,1985,281
19528,94,1985,288
19529,97,1985,294
19526,97,1985,301
19528,97,1985,306
19525,97,1985,311
19528,11,1987,105
19525,11,1987,118
19529,11,1987,125
19528,60,1987,135
19529,60,1987,182
19525,60,1987,182
19529,94,1987,274
19529,97,1987,286
19525,94,1987,298
19525,97,1987,304
19528,94,1987,314
19528,97,1987,321
19528,11,1988,95
19529,11,1988,102
19527,11,1988,109
19525,11,1988,113
19526,11,1988,121
19528,60,1988,123
19525,60,1988,167
19527,60,1988,176
19526,60,1988,178
19529,60,1988,180
19529,94,1988,281
19526,94,1988,286
19525,94,1988,294
19526,97,1988,294
19529,97,1988,299
19525,97,1988,302
19528,94,1988,308
19527,94,1988,310
19528,97,1988,320
19527,97,1988,336
19528,11,1989,79
19525,11,1989,90
19526,11,1989,97
19528,60,1989,105
19527,11,1989,114
19529,11,1989,125
19525,60,1989,154
19529,60,1989,157
19526,60,1989,169
19527,60,1989,176
19526,94,1989,276
19529,94,1989,283
19525,94,1989,288
19526,97,1989,288
19527,94,1989,289
19528,94,1989,293
19525,97,1989,293
19527,97,1989,300
19529,97,1989,309
19528,97,1989,322
19528,11,2014,92
19526,11,2014,121
19527,11,2014,125
19527,60,2014,147
19527,65,2014,151
19526,60,2014,176
19526,65,2014,181
19527,96,2014,309
19527,97,2014,315
19528,11,2015,91
19528,60,2015,95
19525,11,2015,100
19528,65,2015,106
19527,11,2015,112
19526,11,2015,118
19525,60,2015,149
19525,65,2015,156
19527,60,2015,161
19527,65,2015,169
19526,60,2015,171
19526,65,2015,176
19525,94,2015,271
19528,94,2015,309
19527,94,2015,315
19528,95,2015,322
19527,95,2015,324
