PEP_ID,BBCH,YEAR,DAY
19525,11,1972,105
19525,94,1972,286
19525,97,1972,290
19525,11,1976,111
19527,11,1977,109
19528,11,1978,86
19525,11,1978,120
19525,11,1979,100
19528,11,1979,101
19528,11,1980,98
19525,11,1980,116
19528,11,1981,99
19525,11,1981,110
19525,94,1981,293
19528,94,1981,294
19525,97,1981,301
19528,97,1981,303
19528,11,1982,107
19525,11,1982,132
19525,94,1982,298
19528,94,1982,308
19525,97,1982,312
19528,97,1982,322
19525,11,1983,105
19527,11,1983,110
19528,11,1983,114
19527,94,1983,274
19527,97,1983,293
19525,94,1983,298
19528,94,1983,302
19525,97,1983,307
19528,97,1983,319
19528,11,1984,111
19525,11,1984,122
19525,94,1984,296
19525,97,1984,313
19528,94,1984,315
19528,97,1984,325
19525,11,1985,116
19528,11,1985,118
19525,94,1985,295
19528,94,1985,309
19525,97,1985,314
19528,97,1985,319
19528,11,1987,113
19525,11,1987,116
19525,94,1987,295
19525,97,1987,301
19528,94,1987,318
19528,97,1987,319
19525,11,1988,115
19528,11,1988,121
19525,94,1988,299
19525,97,1988,304
19528,94,1988,307
19528,97,1988,317
19528,11,1989,82
19525,11,1989,110
19525,94,1989,298
19525,97,1989,301
19528,94,1989,309
19528,97,1989,314
19527,11,2014,115
19527,96,2014,307
19527,97,2014,314
19528,11,2015,90
19525,11,2015,98
19525,94,2015,276
19528,94,2015,293
19528,95,2015,311
19525,95,2015,314
