PEP_ID,BBCH,YEAR,DAY
20452,11,1954,105
20452,60,1954,112
20452,65,1954,117
20450,11,1957,119
20449,11,1958,94
20451,11,1958,123
20449,11,1959,66
20449,11,1960,95
20449,11,1962,109
20449,60,1962,125
20451,94,1962,262
20449,60,1963,94
20449,11,1963,110
20451,60,1963,111
20451,11,1963,123
20449,94,1963,290
20449,95,1963,307
20449,11,1964,109
20449,60,1964,121
20451,11,1964,128
20451,94,1964,254
20449,94,1964,284
20449,95,1964,311
20451,95,1964,311
20449,60,1965,107
20449,11,1965,112
20449,60,1966,103
20449,11,1966,108
20451,60,1966,118
20451,11,1966,121
20451,94,1966,277
20449,94,1966,297
20451,95,1966,302
20449,95,1966,313
20449,60,1967,99
20449,11,1967,103
20449,60,1968,100
20449,11,1968,105
20451,60,1968,112
20451,11,1968,122
20449,94,1968,286
20451,94,1968,288
20449,95,1968,298
20451,95,1968,311
20449,60,1969,104
20449,11,1969,115
20451,11,1969,118
20451,60,1969,120
20449,94,1969,286
20449,60,1970,107
20449,11,1970,114
20451,11,1970,125
20451,60,1970,127
20449,60,1971,107
20449,11,1971,113
20452,94,1971,284
20452,95,1971,295
20449,94,1971,318
20449,95,1971,327
20449,60,1972,87
20449,11,1972,97
20449,94,1972,269
20449,95,1972,283
20449,60,1973,109
20449,11,1973,120
20449,94,1973,289
20449,95,1973,305
20449,11,1974,93
20449,86,1974,264
20449,60,1975,90
20449,11,1975,107
20451,11,1975,109
20452,11,1975,114
20451,60,1975,129
20451,60,1976,125
20451,11,1976,126
20451,94,1976,279
20452,94,1976,294
20451,95,1976,309
20452,95,1976,310
20450,60,1977,69
20450,11,1977,73
20451,60,1977,93
20451,11,1977,98
20452,60,1977,99
20452,11,1977,108
20452,94,1977,263
20452,95,1977,276
20451,94,1977,287
20451,95,1977,308
20449,60,1978,97
20452,60,1978,102
20449,11,1978,106
20452,11,1978,109
20451,60,1978,114
20451,11,1978,120
20451,94,1978,285
20449,94,1978,296
20451,95,1978,299
20449,95,1978,308
20452,60,1979,100
20452,11,1979,106
20449,11,1979,109
20451,60,1979,117
20451,11,1979,120
20451,94,1979,262
20452,94,1979,279
20449,94,1979,283
20451,95,1979,297
20452,95,1979,298
20449,95,1979,312
20449,60,1980,102
20449,11,1980,106
20449,94,1980,293
20449,95,1980,322
20449,60,1981,91
20449,11,1981,98
20451,60,1983,115
20451,11,1983,117
20451,94,1983,287
20451,95,1983,315
20451,60,1984,119
20451,11,1984,125
20451,94,1984,300
20451,95,1984,306
20451,60,1985,112
20451,11,1985,122
20451,94,1985,269
20451,95,1985,294
20449,60,1986,88
20449,11,1986,95
20449,94,1986,289
20449,95,1986,309
20451,60,1987,123
20451,11,1987,128
20451,94,1987,292
20451,95,1987,323
20452,94,1988,299
20452,95,1988,319
20452,60,1989,90
20452,11,1989,94
20451,60,1989,97
20451,11,1989,109
20452,94,1989,282
20452,95,1989,313
20451,60,1990,96
20452,60,1990,97
20452,11,1990,104
20451,11,1990,130
20452,94,1990,262
20451,94,1990,278
20451,95,1990,319
20452,95,1990,323
20452,60,1993,61
20452,11,1993,91
20449,60,1993,109
20449,11,1993,119
20451,11,1993,129
20451,60,1993,170
20452,94,1993,284
20449,94,1993,300
20452,95,1993,304
20449,95,1993,307
20450,11,1994,78
20450,94,1994,262
20449,60,1997,101
20449,11,1997,111
20449,11,1998,101
20449,60,1998,117
20449,94,1998,287
20449,95,1998,311
20451,60,2014,115
20451,96,2014,260
20451,97,2014,307
