PEP_ID,BBCH,YEAR,DAY
20450,11,1958,105
20452,60,1962,131
20451,11,1964,133
20450,11,1971,101
20450,60,1971,112
20450,11,1972,88
20452,86,1976,269
20452,94,1976,292
20452,11,1977,109
20451,11,1977,114
20451,94,1977,280
20452,94,1977,282
20452,11,1978,124
20452,60,1978,137
20452,86,1978,261
20452,94,1978,301
20452,11,1989,96
20452,94,1989,282
20452,11,1990,106
20452,60,1990,109
20452,94,1990,262
20452,11,1993,91
20452,60,1993,102
20452,94,1993,284
20450,11,1994,75
20450,11,2005,99
20452,11,2005,109
20452,94,2005,282
20452,95,2005,297
20449,11,2006,119
20449,94,2006,282
20449,95,2006,302
20450,11,2007,70
20450,11,2008,82
20452,11,2008,106
20450,60,2008,115
20449,11,2008,121
20451,11,2008,124
20449,94,2008,284
20451,94,2008,284
20452,94,2008,294
20449,95,2008,299
20452,95,2008,325
20450,11,2010,86
20452,11,2010,109
20449,94,2010,273
20449,95,2010,282
20450,11,2011,83
20449,11,2011,119
20452,11,2012,101
20452,94,2012,315
20452,95,2012,325
20450,11,2013,78
20448,60,2014,115
20452,60,2014,135
20452,86,2014,265
20452,96,2014,285
20448,96,2014,337
20448,97,2014,356
